1	n-m	awb	ʼâb	heb	- אָב	a primitive word;		◊meaning:	- def: father	- ', in a literal and immediate, or figurative and remote application'	usage: chief, (fore-) father(-less), × patrimony, principal. Compare names in	  'Abi-'.																																						
2	n-m	ab	ʼab	arc	- אַב	- (Aramaic) corresponding to	  - '@src': H1	  - '1'	usage: father.																																									
113	n-m	aw-done'	ʼâdôwn	heb	- אָדוֹן	- or (shortened)	  - '@pron': aw-done'	  - '@xlit': ʼâdôn	  - אָדֹן	- ; from an unused root (◊meaning to	- def: rule	- );	◊meaning:	- def: sovereign	- ', i.e.'	- def: controller	- (human or divine)	usage: lord, master, owner. Compare also names beginning with 'Adoni-'.																																
114	a	ad-done'	ʼAddôwn	x-pn	- אַדּוֹן	- probably intensive for	  - '@src': H113	  - '113'	- ;	- def: powerful	- ;	◊meaning:	- def: Addon	- ', apparently an Israelite'	usage: Addon.																																			
115	n-pr-loc	ad-o-rah'-yim	ʼĂdôwrayim	x-pn	- אֲדוֹרַיִם	- dual from	  - '@src': H142	  - '142'	- (in the sense of eminence); double mound;	◊meaning:	- def: Adorajim	- ', a place in Palestine'	usage: Adoraim.																																					
116	adv	ed-ah'-yin	ʼĕdayin	arc	- אֱדַיִן	(Aramaic) of uncertain derivation;		◊meaning:	- def: then	- (of time)	usage: now, that time, then.																																							
117	a	ad-deer'	ʼaddîyr	heb	- אַדִּיר	- from	  - '@src': H142	  - '142'	- ;	◊meaning:	- def: wide	- or (generally)	- def: large	- ; figuratively,	- def: powerful	usage: excellent, famous, gallant, glorious, goodly, lordly, mighty(-ier one),	  noble, principal, worthy.																																	
118	n-pr-m	ad-al-yaw'	ʼĂdalyâʼ	x-pn	- אֲדַלְיָא	of Persian derivation;		◊meaning:	- def: Adalja	- ', a son of Haman'	usage: Adalia.																																							
119	v	aw-dam'	ʼâdam	heb	- אָדַם	◊meaning:		- to	- def: show blood	- (in the face), i.e.	- def: flush	- or turn rosy	usage: be (dyed, made) red (ruddy).																																					
120	n-m	aw-dawm'	ʼâdâm	heb	- אָדָם	- from	  - '@src': H119	  - '119'	- ;	◊meaning:	- def: ruddy	- i.e. a	- def: human being	- (an individual or the species,	- def: mankind	- ', etc.)'	usage: × another,   hypocrite,   common sort, × low, man (mean, of low degree),	  person.																																
121	n-pr-m	aw-dawm'	ʼÂdâm	x-pn	- אָדָם	- the same as	  - '@src': H120	  - '120'	- ;	◊meaning:	- def: Adam	- the name of the first man, also of a place in Palestine	usage: Adam.																																					
122	a n-m	aw-dome'	ʼâdôm	heb	- אָדֹם	- from	  - '@src': H119	  - '119'	- ;	◊meaning:	  def: rosy	usage: red, ruddy.																																						
123	n-pr-m	ed-ome'	ʼĔdôm	x-pn	- אֱדֹם	- or (fully)	  - '@pron': ed-ome'	  - '@xlit': ʼĔdôwm	  - אֱדוֹם	- ; from	- w:	  - '@src': H122	  - '122'	- ;	- def: red	- (see Genesis 25:25);	◊meaning:	- def: Edom	- ', the elder twin-brother of Jacob; hence the region (Idumaea) occupied by him'	usage: Edom, Edomites, Idumea.																														
124	n-f	o'-dem	ʼôdem	heb	- אֹדֶם	- from	  - '@src': H119	  - '119'	- ;	◊meaning:	- def: redness	- ', i.e. the'	- def: ruby	- ','	- def: garnet	- ', or some other red gem'	usage: sardius.																																	
125	a	ad-am-dawm'	ʼădamdâm	heb	- אֲדַמְדָּם	- reduplicated from	  - '@src': H119	  - '119'	- ;	◊meaning:	  def: reddish	usage: (somewhat) reddish.																																						
126	n-pr-loc	ad-maw'	ʼAdmâh	x-pn	- אַדְמָה	- contracted for	  - '@src': H127	  - '127'	- ; earthy;	◊meaning:	- def: Admah	- ', a place near the Dead Sea'	usage: Admah.																																					
127	n-f	ad-aw-maw'	ʼădâmâh	heb	- אֲדָמָה	- from	  - '@src': H119	  - '119'	- ;	◊meaning:	- def: soil	- (from its general redness)	usage: country, earth, ground, husband(-man) (-ry), land.																																					
128	n-pr-loc	ad-aw-maw'	ʼĂdâmâh	x-pn	- אֲדָמָה	- the same as	  - '@src': H127	  - '127'	- ;	◊meaning:	- def: Adamah	- ', a place in Palestine'	usage: Adamah.																																					
129	n-pr-loc	ad-aw-mee'	ʼĂdâmîy	x-pn	- אֲדָמִי	- from	  - '@src': H127	  - '127'	- ; earthy;	◊meaning:	- def: Adami	- ', a place in Palestine'	usage: Adami.																																					
130	a	ed-o-mee'	ʼĔdômîy	x-pn	- אֱדֹמִי	- or (fully)	  - '@pron': ed-omee'	  - '@xlit': ʼĔdôwmîy	  - אֱדוֹמִי	- ; patronymic from	- w:	  - '@src': H123	  - '123'	- ; See	- w:	  - '@src': H726	  - '726'	- .	◊meaning:	- an	- def: Edomite	- ', or descendants from (or inhabitants of) Edom'	usage: 'Edomite. '																											
131	n-pr-loc	ad-oom-meem'	ʼĂdummîym	x-pn	- אֲדֻמִּים	- plural of	  - '@src': H121	  - '121'	- ; red spots;	◊meaning:	- def: Adummim	- ', a pass in Palestine'	usage: Adummim.																																					
132	a	ad-mo-nee'	ʼadmônîy	heb	- אַדְמֹנִי	- or (fully)	  - '@pron': ad-mo-nee'	  - '@xlit': ʼadmôwnîy	  - אַדְמוֹנִי	- ; from	- w:	  - '@src': H119	  - '119'	- ;	◊meaning:	- def: reddish	- (of the hair or the complexion)	usage: red, ruddy.																																
133	n-pr-m	ad-maw-thaw'	ʼAdmâthâʼ	x-pn	- אַדְמָתָא	probably of Persian derivation;		◊meaning:	- def: Admatha	- ', a Persian nobleman'	usage: Admatha.																																							
134	n-m	eh'-den	ʼeden	heb	- אֶדֶן	- from the same as	  - '@src': H113	  - '113'	- (in the sense of	- def: strength	- );	◊meaning:	- a	- def: basis	- (of a building, a column, etc.)	usage: foundation, socket.																																		
135	n-pr-loc	ad-dawn'	ʼAddân	x-pn	- אַדָּן	- intensive from the same as	  - '@src': H134	  - '134'	- ; firm;	◊meaning:	- def: Addan	- ', an Israelite'	usage: Addan.																																					
136	n-m	ad-o-noy'	ʼĂdônây	heb	- אֲדֹנָי	- an emphatic form of	  - '@src': H113	  - '113'	- ;	◊meaning:	- the	- def: Lord	- (used as a proper name of God only)	usage: (my) Lord.																																				
137	n-pr-m	ad-o''-nee-beh'-zek	ʼĂdônîy-Bezeq	x-pn	- אֲדֹנִי־בֶזֶק	- from	  - '@src': H113	  - '113'	- and	- w:	  - '@src': H966	  - '966'	- ; lord of Bezek;	◊meaning:	- def: Adoni-Bezek	- ; a Canaanitish king	usage: Adonibezek.																																	
138	n-pr-m	ad-o-nee-yaw'	ʼĂdônîyâh	x-pn	- אֲדֹנִיָּה	- original (prolonged)	  - '@pron': ad-o-nee-yaw'-hoo	  - '@xlit': ʼĂdônîyâhûw	  - אֲדֹנִיָּהוּ	- ; from	- w:	  - '@src': H113	  - '113'	- and	- w:	  - '@src': H3050	  - '3050'	- ; lord (i.e. worshipper) of Jah;	◊meaning:	- def: Adonijah	- ', the name of three Israelites'	usage: Adonijah.																												
139	n-pr-m	ad-o''-nee-tseh'-dek	ʼĂdônîy-Tsedeq	x-pn	- אֲדֹנִי־צֶדֶק	- from	  - '@src': H113	  - '113'	- and	- w:	  - '@src': H6664	  - '6664'	- ; lord of justice;	◊meaning:	- def: Adoni-Tsedek	- ', a Canaanitish king'	usage: Adonizedec.																																	
140	n-pr-m	ad-o-nee-kawm'	ʼĂdônîyqâm	x-pn	- אֲדֹנִיקָם	- from	  - '@src': H113	  - '113'	- and	- w:	  - '@src': H6965	  - '6965'	- ; lord of rising (i.e. high);	◊meaning:	- def: Adonikam	- ', the name of one or two Israelites'	usage: Adonikam.																																	
141	n-pr-m	ad-o-nee-rawm'	ʼĂdônîyrâm	x-pn	- אֲדֹנִירָם	- from	  - '@src': H113	  - '113'	- and	- w:	  - '@src': H7311	  - '7311'	- ; lord of height;	◊meaning:	- def: Adoniram	- ', an Israelite'	usage: Adoniram.																																	
142	v	aw-dar'	ʼâdar	heb	- אָדַר	a primitive root;		◊meaning:	- to	- def: expand	- ', i.e.'	- def: be great	- or (figuratively)	- def: magnificent	usage: (become) glorious, honourable.																																			
143	n	ad-awr'	ʼĂdâr	x-pn	- אֲדָר	probably of foreign derivation; perhaps ◊meaning fire;		◊meaning:	- def: Adar	- ', the 12th Hebrew month'	usage: Adar.																																							
144	n	ad-awr'	ʼĂdâr	arc	- אֲדָר	- (Aramaic) corresponding to	  - '@src': H143	  - '143'	usage: Adar.																																									
145	n	eh'-der	ʼeder	heb	- אֶדֶר	- from	  - '@src': H142	  - '142'	- ;	◊meaning:	- def: amplitude	- ', i.e. (concrete) a'	- def: mantle	- ; also (figuratively)	- def: splendor	usage: goodly, robe.																																		
146	n-pr-m	ad-dawr'	ʼAddâr	x-pn	- אַדָּר	- intensive from	  - '@src': H142	  - '142'	- ; ample;	◊meaning:	- def: Addar	- ', a place in Palestine; also an Israelite'	usage: Addar.																																					
147	n-f	id-dar'	ʼiddar	arc	- אִדַּר	- (Aramaic) intensive, from a root corresponding to	  - '@src': H142	  - '142'	- ;	◊meaning:	- def: ample	- ', i.e. a'	- def: threshing-floor	usage: threshingfloor.																																				
148	n-m	ad-ar''-gaw-zare'	ʼădargâzêr	arc	- אֲדַרְגָּזֵר	- (Aramaic) from the same as	  - '@src': H147	  - '147'	- ', and'	- w:	  - '@src': H1505	  - '1505'	- ;	◊meaning:	- a	- def: chief diviner	- ', or'	- def: astrologer	usage: judge.																															
149	adv	ad-raz-daw'	ʼadrazdâʼ	arc	- אַדְרַזְדָּא	(Aramaic) probably of Persian origin;		◊meaning:	- def: quickly	- or	- def: carefully	usage: diligently.																																						
150	n-m	ad-ar-kone'	ʼădarkôn	heb	- אֲדַרְכֹּן	of Persian origin;		◊meaning:	- def: a daric	- or	- def: Persian coin	usage: dram.																																						
151	n-pr-m	ad-o-rawm'	ʼĂdôrâm	x-pn	- אֲדֹרָם	- contracted for	  - '@src': H141	  - '141'	- ;	◊meaning:	- def: Adoram	- (or Adoniram), an Israelite	usage: Adoram.																																					
152	n-pr-m	ad-ram-meh'-lek	ʼĂdrammelek	x-pn	- אֲדְרַמֶּלֶךְ	- from	  - '@src': H142	  - '142'	- and	- w:	  - '@src': H4428	  - '4428'	- ;	- def: splendor of	- (the)	- def: king	- ;	◊meaning:	- def: Adrammelek	- ', the name of an Assyrian idol, also of a son of Sennacherib'	usage: Adrammelech.																													
153	n-f	ed-raw'	ʼedrâʻ	arc	- אֶדְרָע	- (Aramaic) an orthographical variation for	  - '@src': H1872	  - '1872'	- ;	◊meaning:	- an	- def: arm	- ', i.e. (figuratively)'	- def: power	usage: force.																																			
154	n-pr-loc	ed-reh'-ee	ʼedreʻîy	x-pn	- אֶדְרֶעִי	- from the equivalent of	  - '@src': H153	  - '153'	- ;	- def: mighty	- ;	◊meaning:	- def: Edrei	- ', the name of two places in Palestine'	usage: Edrei.																																			
155	n-f	ad-deh'-reth	ʼaddereth	heb	- אַדֶּרֶת	- feminine of	  - '@src': H117	  - '117'	- ; ; also the same as	- w:	  - '@src': H145	  - '145'	◊meaning:	- something	- def: ample	- (as a large vine, a wide dress)	usage: garment, glory, goodly, mantle, robe.																																	
156	v	aw-dash'	ʼâdash	heb	- אָדַשׁ	a primitive root;		◊meaning:	- to	- def: tread	- out (grain)	usage: thresh.																																						
157	v	aw-hab'	ʼâhab	heb	- אָהַב	- or	  - '@pron': aw-habe'	  - '@xlit': ʼâhêb	  - אָהֵב	- ; a primitive root;	◊meaning:	- to	- def: have affection	- for (sexually or otherwise)	usage: (be-) love(-d, -ly, -r), like, friend.																																			
158	n-m	ah'-hab	ʼahab	heb	- אַהַב	- from	  - '@src': H157	  - '157'	- ;	◊meaning:	- def: affection	- (in a good or a bad sense)	usage: love(-r).																																					
159	n-m	o'-hab	ʼôhab	heb	- אֹהַב	- from	  - '@src': H156	  - '156'	- ; ◊meaning the same as	- w:	  - '@src': H158	  - '158'	usage: love.																																					
160	n-f	a-hab-aw	ʼahăbâh	heb	- אַהֲבָה	- feminine of	  - '@src': H158	  - '158'	- and ◊meaning the same	usage: love.																																								
161	n-pr-m	o'-had	ʼÔhad	x-pn	- אֹהַד	from an unused root ◊meaning to be united; unity;		◊meaning:	- def: Ohad	- ', an Israelite'	usage: Ohad.																																							
162	inj	a-haw'	ʼăhâhh	heb	- אֲהָהּ	apparently a primitive word expressing pain exclamatorily;		◊meaning:	  def: Oh!	usage: ah, alas.																																								
163	n-pr-loc	a-hav-aw'	ʼAhăvâʼ	x-pn	- אַהֲוָא	probably of foreign origin;		◊meaning:	- def: Ahava	- ', a river of Babylonia'	usage: Ahava.																																							
164	n-pr-m	ay-hood'	ʼÊhûwd	x-pn	- אֵהוּד	- from the same as	  - '@src': H161	  - '161'	- ; united;	◊meaning:	- def: Ehud	- ', the name of two or three Israelites'	usage: Ehud.																																					
165	adv	e-hee'	ʼĕhîy	heb	- אֱהִי	- apparently an orthographical variation for	  - '@src': H346	  - '346'	- ;	◊meaning:	  def: where	usage:	- I will be (Hosea 13:10,14) (which is often the rendering of the same Hebrew	  form from	- w:	  - '@src': H1961	  - '1961'	- ).																																
166	v	aw-hal'	ʼâhal	heb	- אָהַל	a primitive root;		◊meaning:	- to	- def: be clear	usage: shine.																																							
167	v	aw-hal'	ʼâhal	heb	- אָהַל	- a denominative from	  - '@src': H168	  - '168'	- ;	◊meaning:	- to	- def: tent	usage: pitch (remove) a tent.																																					
168	n-m	o'-hel	ʼôhel	heb	- אֹהֶל	- from	  - '@src': H166	  - '166'	- ;	◊meaning:	- a	- def: tent	- (as clearly conspicuous from a distance)	usage: covering, (dwelling) (place), home, tabernacle, tent.																																				
169	n-pr-m	o'-hel	ʼÔhel	x-pn	- אֹהֶל	- the same as	  - '@src': H168	  - '168'	- ;	◊meaning:	- def: Ohel	- ', an Israelite'	usage: Ohel.																																					
170	n-pr-f	o-hol-aw'	ʼOhŏlâh	x-pn	- אׇהֳלָה	- in form a feminine of	  - '@src': H168	  - '168'	- ', but in fact for'	- w:	  - '@pron': o-hol-aw'	  - '@xlit': ʼOhŏlâhh	  - אׇהֳלָהּ	- ; from	- w:	  - '@src': H168	  - '168'	- ; her tent (i.e. idolatrous sanctuary);	◊meaning:	- def: Oholah	- ', a symbolic name for Samaria'	usage: Aholah.																												
171	n-pr-m	o''-hol-e-awb'	ʼOhŏlîyʼâb	x-pn	- אׇהֳלִיאָב	- from	  - '@src': H168	  - '168'	- and	- w:	  - '@src': H1	  - '1'	- ;	- def: tent of	- (his)	- def: father	- ;	◊meaning:	- def: Oholiab	- ', an Israelite'	usage: Aholiab.																													
172	n-pr-f	o''-hol-ee-baw'	ʼOhŏlîybâh	x-pn	- אׇהֳלִיבָה	- (similarly with	  - '@src': H170	  - '170'	- ) for	- w:	  - '@pron': o''-hol-e-baw'	  - '@xlit': ʼOhŏlîybâhh	  - אׇהֳלִיבָהּ	- ; from	- w:	  - '@src': H168	  - '168'	- ; my tent (is) in her;	◊meaning:	- def: Oholibah	- ', a symbolic name for Judah'	usage: Aholibah.																												
173	n	o''-hol-ee-baw-maw'	ʼOhŏlîybâmâh	x-pn	- אׇהֳלִיבָמָה	- from	  - '@src': H168	  - '168'	- and	- w:	  - '@src': H1116	  - '1116'	- ; tent of (the) height;	◊meaning:	- def: Oholibamah	- ', a wife of Esau'	usage: Aholibamah.																																	
174	n-m	a-haw-leem'	ʼăhâlîym	heb	- אֲהָלִים	- or (feminine)	  - '@pron': a-haw-loth'	  - '@xlit': ʼăhâlôwth	  - אֲהָלוֹת	- (only used thus in the plural); of foreign origin;	◊meaning:	- def: aloe wood	- (i.e. sticks)	usage: (tree of lign-) aloes.																																				
175	n-pr-m	a-har-one'	ʼAhărôwn	x-pn	- אַהֲרוֹן	of uncertain derivation;		◊meaning:	- def: Aharon	- ', the brother of Moses'	usage: Aaron.																																							
176	conj	o	ʼôw	heb	- אוֹ	- presumed to be the 'constructive' or genitival form of	  - '@pron': av	  - '@xlit': ʼav	  - אַו	- ; short for	- w:	  - '@src': H185	  - '185'	- ;	◊meaning:	- def: desire	- (and so probably in Proverbs 31:4); hence (by way of alternative)	- def: or	- ', also'	- def: if	usage: also, and, either, if, at the least, × nor, or, otherwise, then, whether.																													
177	n-pr-m	oo-ale'	ʼÛwʼêl	x-pn	- אוּאֵל	- from	  - '@src': H176	  - '176'	- and	- w:	  - '@src': H410	  - '410'	- ; wish of God;	◊meaning:	- def: Uel	- ', and Israelite'	usage: Uel.																																	
178	n-m	obe	ʼôwb	heb	- אוֹב	- from the same as	  - '@src': H1	  - '1'	- (apparently through the idea of	- def: prattling	- a father's name);	◊meaning:	- properly, a	- def: mumble	- ', i.e. a water-'	- def: skin	- (from its hollow sound); hence a	- def: necromancer	- (ventriloquist, as from a jar)	usage: bottle, familiar spirit.																														
179	n-pr-m	o-beel'	ʼôwbîyl	x-pn	- אוֹבִיל	- probably from	  - '@src': H56	  - '56'	- ; mournful;	◊meaning:	- def: Obil	- ', an Ishmaelite'	usage: Obil.																																					
180	n-m	oo-bawl'	ʼûwbâl	heb	- אוּבָל	- or (shortened)	  - '@pron': oo-bawl'	  - '@xlit': ʼubâl	  - אֻבָל	- ; from	- w:	  - '@src': H2986	  - '2986'	- (in the sense of	- w:	  - '@src': H2988	  - '2988'	- );	◊meaning:	- a	- def: stream	usage: river.																												
181	n-m	ood	ʼûwd	heb	- אוּד	- from an unused root ◊meaning to	- together;	◊meaning:	- a	- def: poker	- (for	- def: turning	- or	- def: gathering	- embers)	usage: (fire-) brand.																																		
182	n-f	o-doth'	ʼôwdôwth	heb	- אוֹדוֹת	- or (shortened)	  - '@pron': odoth'	  - '@xlit': ʼôdôwth	  - אֹדוֹת	- (only thus in the plural); from the same as	- w:	  - '@src': H181	  - '181'	- ;	◊meaning:	- def: turnings	- (i.e.	- def: occasions	- ); (adverb) on	- def: account	- of	usage: (be-) cause, concerning, sake.																												
183	v	aw-vaw'	ʼâvâh	heb	- אָוָה	a primitive root;		◊meaning:	- to	- def: wish for	usage: covet, (greatly) desire, be desirous, long, lust (after).																																							
184	v	aw-vaw'	ʼâvâh	heb	- אָוָה	a primitive root;		◊meaning:	- to	- def: extend	- or	- def: mark out	usage: point out.																																					
185	n-f	av-vaw'	ʼavvâh	heb	- אַוָּה	- from	  - '@src': H183	  - '183'	- ;	◊meaning:	  def: longing	usage: desire, lust after, pleasure.																																						
186	n-pr-m	oo-zah'-ee	ʼÛwzay	x-pn	- אוּזַי	- perhaps by permutation for	  - '@src': H5813	  - '5813'	- ', strong;'	◊meaning:	- def: Uzai	- ', an Israelite'	usage: Uzai.																																					
